wl;UV_control;Dor_paint;UV_paint;Dor_control
504,41;44,667;6,856;14,382;12,315
504,76;44,749;6,875;14,419;12,343
505,11;44,787;6,896;14,429;12,365
505,45;44,875;6,918;14,47;12,382
505,8;44,969;6,918;14,507;12,398
506,15;45,051;6,923;14,533;12,4
506,49;45,163;6,951;14,566;12,432
506,84;45,267;6,975;14,601;12,461
507,19;45,4;6,995;14,65;12,483
507,54;45,515;7,02;14,692;12,527
507,88;45,654;7,042;14,73;12,554
508,23;45,793;7,059;14,774;12,586
508,58;45,927;7,074;14,833;12,612
508,92;46,027;7,073;14,868;12,642
509,27;46,14;7,09;14,912;12,666
509,62;46,247;7,105;14,941;12,697
509,96;46,363;7,106;14,986;12,729
510,31;46,476;7,116;15,017;12,752
510,66;46,58;7,134;15,043;12,785
511;46,703;7,152;15,081;12,824
511,35;46,802;7,168;15,103;12,862
511,7;46,922;7,185;15,123;12,869
512,04;47,041;7,211;15,145;12,898
512,39;47,182;7,238;15,182;12,935
512,74;47,253;7,25;15,218;12,958
513,08;47,311;7,282;15,257;12,979
513,43;47,339;7,305;15,291;12,997
513,78;47,34;7,321;15,329;12,989
514,12;47,304;7,339;15,354;12,992
514,47;47,245;7,356;15,37;13,001
514,82;47,196;7,365;15,385;13,005
515,16;47,146;7,373;15,393;13,022
515,51;47,081;7,373;15,399;13,033
515,85;47,023;7,38;15,38;13,04
516,2;46,967;7,399;15,383;13,051
516,55;46,887;7,406;15,382;13,044
516,89;46,797;7,415;15,369;13,036
517,24;46,717;7,429;15,35;13,034
517,58;46,651;7,437;15,349;13,041
517,93;46,601;7,457;15,354;13,041
518,28;46,558;7,464;15,359;13,05
518,62;46,561;7,465;15,376;13,067
518,97;46,562;7,472;15,393;13,095
519,31;46,566;7,474;15,407;13,113
519,66;46,569;7,475;15,433;13,129
520,01;46,628;7,485;15,451;13,158
520,35;46,652;7,491;15,47;13,176
520,7;46,711;7,506;15,501;13,204
521,04;46,737;7,528;15,536;13,235
521,39;46,773;7,542;15,579;13,258
521,73;46,823;7,565;15,624;13,291
522,08;46,893;7,595;15,671;13,335
522,42;46,959;7,617;15,731;13,36
522,77;47,019;7,663;15,802;13,377
